area_id,alleg_year,officer_race,count
4,1992,White,26
4,1993,Black,2
4,1993,Hispanic,7
4,1993,White,33
4,1994,Asian/Pacific,1
4,1994,Black,9
4,1994,Hispanic,6
4,1994,White,25
4,1995,Asian/Pacific,1
4,1995,Black,9
4,1995,Hispanic,5
4,1995,White,27
4,1996,Asian/Pacific,2
4,1996,Black,4
4,1996,Hispanic,6
4,1996,White,40
4,1997,Black,6
4,1997,Hispanic,4
4,1997,White,21
4,1998,Black,6
4,1998,Hispanic,8
4,1998,White,38
4,1999,Asian/Pacific,1
4,1999,Black,5
4,1999,Hispanic,1
4,1999,White,6
4,2000,Black,2
4,2000,Hispanic,3
4,2000,White,29
4,2001,Asian/Pacific,1
4,2001,Black,5
4,2001,Hispanic,6
4,2001,White,7
4,2002,Asian/Pacific,1
4,2002,Black,3
4,2002,Hispanic,1
4,2002,White,6
4,2003,Black,2
4,2003,Hispanic,3
4,2003,White,12
4,2004,Asian/Pacific,1
4,2004,Black,1
4,2004,Hispanic,1
4,2004,White,5
4,2005,Hispanic,5
4,2005,White,9
4,2006,Asian/Pacific,2
4,2006,Hispanic,2
4,2006,White,4
4,2007,Black,4
4,2007,White,5
4,2008,Asian/Pacific,3
4,2008,Black,2
4,2008,White,7
4,2009,Asian/Pacific,1
4,2009,Black,1
4,2009,Hispanic,5
4,2009,White,5
4,2010,Hispanic,3
4,2010,White,3
4,2011,White,1
4,2012,Black,2
4,2012,Hispanic,3
4,2012,White,10
4,2013,White,7
4,2014,Asian/Pacific,1
4,2014,Black,1
4,2014,Hispanic,2
4,2014,White,6
4,2015,Hispanic,1
4,2015,White,1
4,2016,Hispanic,1
4,2016,White,1
4,2017,Hispanic,2
4,2017,White,7
4,,Hispanic,1
5,1983,Black,1
5,1983,White,4
5,1986,White,2
5,1989,Black,3
5,1989,Hispanic,1
5,1989,White,16
5,1990,Asian/Pacific,1
5,1990,Black,1
5,1990,White,7
5,1991,Asian/Pacific,2
5,1991,Hispanic,4
5,1991,White,31
5,1992,Asian/Pacific,1
5,1992,Black,3
5,1992,Hispanic,3
5,1992,Native American/Alaskan Native,1
5,1992,White,22
5,1993,Asian/Pacific,1
5,1993,Black,5
5,1993,Hispanic,3
5,1993,White,25
5,1994,Asian/Pacific,1
5,1994,Black,3
5,1994,Hispanic,7
5,1994,White,26
5,1995,Black,1
5,1995,Hispanic,7
5,1995,Native American/Alaskan Native,1
5,1995,White,29
5,1996,Asian/Pacific,1
5,1996,Black,2
5,1996,Hispanic,7
5,1996,White,64
5,1997,Asian/Pacific,5
5,1997,Black,3
5,1997,Hispanic,8
5,1997,White,38
5,1998,Asian/Pacific,1
5,1998,Black,4
5,1998,Hispanic,13
5,1998,White,46
5,1999,Asian/Pacific,1
5,1999,Black,6
5,1999,Hispanic,5
5,1999,White,20
5,2000,Black,4
5,2000,Hispanic,6
5,2000,White,30
5,2001,Asian/Pacific,2
5,2001,Hispanic,2
5,2001,White,20
5,2002,Black,4
5,2002,Hispanic,5
5,2002,White,29
5,2003,Black,3
5,2003,Hispanic,6
5,2003,White,14
5,2004,Asian/Pacific,4
5,2004,Black,3
5,2004,Hispanic,7
5,2004,White,16
5,2005,Asian/Pacific,1
5,2005,Black,3
5,2005,Hispanic,6
5,2005,White,13
5,2006,White,5
5,2007,Black,1
5,2007,Hispanic,1
5,2007,White,12
5,2008,Black,1
5,2008,Hispanic,6
5,2008,White,14
5,2009,Black,1
5,2009,Hispanic,3
5,2009,White,14
5,2010,Asian/Pacific,3
5,2010,Black,3
5,2010,Hispanic,2
5,2010,White,8
5,2011,Asian/Pacific,2
5,2011,Black,1
5,2011,Hispanic,2
5,2011,White,8
5,2012,Asian/Pacific,1
5,2012,Black,1
5,2012,Hispanic,3
5,2012,White,13
5,2013,Hispanic,4
5,2013,White,9
5,2014,Asian/Pacific,1
5,2014,Black,2
5,2014,Hispanic,6
5,2014,White,5
5,2015,Hispanic,2
5,2015,White,2
5,2016,Black,1
5,2016,Hispanic,1
5,2017,White,1
6,1982,Hispanic,1
6,1983,White,1
6,1984,White,1
6,1986,White,2
6,1987,White,4
6,1989,Asian/Pacific,1
6,1989,Black,1
6,1989,Hispanic,2
6,1989,White,21
6,1990,Asian/Pacific,1
6,1990,Hispanic,3
6,1990,White,16
6,1991,Hispanic,4
6,1991,Native American/Alaskan Native,1
6,1991,White,35
6,1992,Asian/Pacific,1
6,1992,Hispanic,4
6,1992,White,22
6,1993,Asian/Pacific,1
6,1993,Black,2
6,1993,Hispanic,4
6,1993,White,53
6,1994,Black,1
6,1994,Hispanic,1
6,1994,White,16
6,1995,Asian/Pacific,1
6,1995,Hispanic,4
6,1995,Native American/Alaskan Native,2
6,1995,White,22
6,1996,Black,1
6,1996,Hispanic,5
6,1996,White,24
6,1997,Asian/Pacific,1
6,1997,Black,1
6,1997,Hispanic,12
6,1997,White,30
6,1998,Black,2
6,1998,Hispanic,6
6,1998,White,24
6,1999,Black,4
6,1999,Hispanic,6
6,1999,White,22
6,2000,Asian/Pacific,6
6,2000,Black,3
6,2000,Hispanic,8
6,2000,Native American/Alaskan Native,1
6,2000,White,57
6,2001,Hispanic,4
6,2001,White,14
6,2002,Asian/Pacific,2
6,2002,Black,1
6,2002,Hispanic,1
6,2002,Native American/Alaskan Native,1
6,2002,White,9
6,2003,White,12
6,2004,White,3
6,2005,White,4
6,2006,Hispanic,2
6,2006,White,1
6,2007,Asian/Pacific,1
6,2007,Black,2
6,2007,Hispanic,10
6,2007,White,10
6,2008,Hispanic,2
6,2008,White,8
6,2009,Hispanic,4
6,2009,White,6
6,2010,Hispanic,1
6,2010,White,1
6,2013,Asian/Pacific,1
6,2013,Hispanic,2
6,2013,White,6
6,2014,White,3
6,2015,Hispanic,1
6,2015,White,5
6,2017,Hispanic,5
7,1981,White,1
7,1982,Hispanic,1
