Id,Block,City,Year,Latitude,Longitude,Location
109498,?,CHICAGO ILLINOIS ,1997,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
112771,,,1989,41.9196135,-87.6595965,"(-87.6595965 ,41.9196135)"
112772,,,1989,41.877973,-87.661432,"(-87.661432 ,41.877973)"
112773,,,1989,41.7886848,-87.6043402,"(-87.6043402 ,41.7886848)"
112775,,,1989,41.8245772,-87.6290069,"(-87.6290069 ,41.8245772)"
112776,,,1989,41.8620764,-87.6541502,"(-87.6541502 ,41.8620764)"
112777,,,1989,41.877973,-87.661432,"(-87.661432 ,41.877973)"
112779,,,1988,41.9461239,-87.7638216,"(-87.7638216 ,41.9461239)"
112780,,,1989,41.966169,-87.728323,"(-87.728323 ,41.966169)"
112781,,,1989,41.8820586,-87.6278153,"(-87.6278153 ,41.8820586)"
112782,,,1989,41.9033984,-87.6288804,"(-87.6288804 ,41.9033984)"
112783,,,1989,41.6303103,-87.8539425,"(-87.8539425 ,41.6303103)"
112784,,,1989,41.800121,-87.643201,"(-87.643201 ,41.800121)"
112785,,,1989,41.9982812,-87.6720841,"(-87.6720841 ,41.9982812)"
112786,,,1989,41.802688,-87.59005,"(-87.59005 ,41.802688)"
112787,,,1989,41.8683196,-87.6276846,"(-87.6276846 ,41.8683196)"
112792,,,1989,41.8957316,-87.6606159,"(-87.6606159 ,41.8957316)"
112794,,,1989,41.79092,-87.6303989,"(-87.6303989 ,41.79092)"
112796,,,1989,41.9153532,-87.6961872,"(-87.6961872 ,41.9153532)"
112798,,,1989,41.8735257,-87.7053313,"(-87.7053313 ,41.8735257)"
112799,,,1989,41.7842384,-87.6209365,"(-87.6209365 ,41.7842384)"
112800,,,1989,41.5030655,-87.6984427,"(-87.6984427 ,41.5030655)"
112802,,,1989,41.7657266,-87.6271603,"(-87.6271603 ,41.7657266)"
112804,,,1989,41.873988,-87.705456,"(-87.705456 ,41.873988)"
