Id,Block,City,Year,Latitude,Longitude,Location
105487,,CHICAGO IL,2015,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
90731,N HARLEM AVE,CHICAGO IL 60634,2015,41.9482395,-87.8073957,"(-87.8073957 ,41.9482395)"
104069,N KINGSBURY ST,CHICAGO IL 60654,2015,41.891964,-87.640727,"(-87.640727 ,41.891964)"
104073,N CALDWELL AVE,CHICAGO IL 60646,2015,41.9974861,-87.7670733,"(-87.7670733 ,41.9974861)"
104083,S COTTAGE GROVE AVE,CHICAGO IL,2015,41.7806689,-87.6065315,"(-87.6065315 ,41.7806689)"
104085,W IRVING PARK RD,CHICAGO IL,2015,41.9539571,-87.7197423,"(-87.7197423 ,41.9539571)"
104088,W DIVISION ST,CHICAGO IL,2015,41.9028432,-87.7180211,"(-87.7180211 ,41.9028432)"
104096,S HALSTED ST,CHICAGO IL 60609,2015,41.8076886,-87.6455006,"(-87.6455006 ,41.8076886)"
104097,S STATE ST,CHICAGO IL,2015,41.8579115,-87.6275964,"(-87.6275964 ,41.8579115)"
104099,N RIDGEWAY AVE,CHICAGO IL,2015,41.8987443,-87.7203209,"(-87.7203209 ,41.8987443)"
104101,N RIDGEWAY AVE,CHICAGO IL,2015,41.8987443,-87.7203209,"(-87.7203209 ,41.8987443)"
104102,S NORMAL AVE,CHICAGO IL,2015,41.7058154,-87.6357668,"(-87.6357668 ,41.7058154)"
104103,S GREEN ST,CHICAGO IL 60621,2015,41.760044,-87.64584,"(-87.64584 ,41.760044)"
104104,N LARRABEE ST,CHICAGO IL,2015,41.9087331,-87.6437764,"(-87.6437764 ,41.9087331)"
104107,S MICHIGAN AVE,CHICAGO IL,2015,41.8297137,-87.6237715,"(-87.6237715 ,41.8297137)"
104111,S HALSTED ST,CHICAGO IL 60620,2015,41.7510737,-87.6440397,"(-87.6440397 ,41.7510737)"
104112,S EXCHANGE AVE,CHICAGO IL 60649,2015,41.764981,-87.5658066,"(-87.5658066 ,41.764981)"
104116,,CHICAGO IL,2015,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
104120,S HALSTED ST,CHICAGO IL 60628,2015,41.6763025,-87.6422367,"(-87.6422367 ,41.6763025)"
104121,W CHICAGO AVE,CHICAGO IL,2015,41.8955882,-87.7207326,"(-87.7207326 ,41.8955882)"
104122,S SPRINGFIELD AVE,CHICAGO IL 60629,2015,41.7665726,-87.720158,"(-87.720158 ,41.7665726)"
104123,W 47TH ST,CHICAGO IL,2015,41.8087255,-87.6741611,"(-87.6741611 ,41.8087255)"
104125,S MICHIGAN AVE,CHICAGO IL 60653,2015,41.8297137,-87.6237715,"(-87.6237715 ,41.8297137)"
104129,S MARSHFIELD AVE,CHICAGO IL 60636,2015,41.7779212,-87.6656809,"(-87.6656809 ,41.7779212)"
