Id,Block,City,Year,Latitude,Longitude,Location
73378,W FLOURNOY ST,CHICAGO IL 60624,2009,41.8726294,-87.719093,"(-87.719093 ,41.8726294)"
74078,,CHICAGO IL,2009,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
74233,,CHICAGO IL,2009,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
73397,W HARRISON ST,CHICAGO IL,2009,41.873988,-87.705456,"(-87.705456 ,41.873988)"
73398,S LAFLIN ST,CHICAGO IL 60636,2009,41.7744287,-87.6618602,"(-87.6618602 ,41.7744287)"
73399,E 63RD ST,CHICAGO IL 60637,2009,41.7806255,-87.6038137,"(-87.6038137 ,41.7806255)"
73400,E WACKER DR,CHICAGO IL,2009,41.8883043,-87.6232193,"(-87.6232193 ,41.8883043)"
73401,N LARRABEE ST,CHICAGO IL,2009,41.902968,-87.643565,"(-87.643565 ,41.902968)"
73403,N WALLER AVE,CHICAGO IL,2009,41.883717,-87.768705,"(-87.768705 ,41.883717)"
73404,W JACKSON BLVD,CHICAGO IL,2009,41.87778,-87.688248,"(-87.688248 ,41.87778)"
73407,N STATE ST,CHICAGO IL,2009,41.9015416,-87.6289315,"(-87.6289315 ,41.9015416)"
73408,N LARAMIE AVE,CHICAGO IL,2009,41.9128154,-87.7560507,"(-87.7560507 ,41.9128154)"
73410,S HALSTED ST,CHICAGO IL,2009,41.683571,-87.6424767,"(-87.6424767 ,41.683571)"
73411,W JACKSON BLVD,CHICAGO IL 60612,2009,41.87778,-87.688248,"(-87.688248 ,41.87778)"
73412,N LOREL AVE,CHICAGO IL 60651,2009,41.898238,-87.7597079,"(-87.7597079 ,41.898238)"
73413,W CONGRESS PKWY,CHICAGO IL,2009,41.8743762,-87.7248779,"(-87.7248779 ,41.8743762)"
73414,S PULASKI RD,CHICAGO IL 60624,2009,41.8736806,-87.7254321,"(-87.7254321 ,41.8736806)"
73415,N CICERO AVE,CHICAGO IL 60639,2009,41.9112409,-87.7464007,"(-87.7464007 ,41.9112409)"
73416,S ABERDEEN ST,CHICAGO IL 60608,2009,41.8344704,-87.6538164,"(-87.6538164 ,41.8344704)"
73418,S UNION AVE,CHICAGO IL 60609,2009,41.8147285,-87.6432782,"(-87.6432782 ,41.8147285)"
73419,N CALIFORNIA AVE,CHICAGO IL 60647,2009,41.9212751,-87.697796,"(-87.697796 ,41.9212751)"
73420,S RACINE AVE,CHICAGO IL 60636,2009,41.781551,-87.654907,"(-87.654907 ,41.781551)"
73421,S HALSTED ST,CHICAGO IL 60620,2009,41.7510737,-87.6440397,"(-87.6440397 ,41.7510737)"
