Id,Block,City,Year,Latitude,Longitude,Location
90737,S SOUTH CHICAGO AVE,CHICAGO IL 60617,2013,41.750191,-87.5844552,"(-87.5844552 ,41.750191)"
90738,S HALSTED ST,CHICAGO IL,2012,41.7272458,-87.6437437,"(-87.6437437 ,41.7272458)"
91892,,CHICAGO IL,2012,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
90746,N CENTRAL AVE,CHICAGO IL 60644,2012,41.8854886,-87.7656147,"(-87.7656147 ,41.8854886)"
90747,W CONGRESS PKWY,CHICAGO IL,2012,41.8741111,-87.7444472,"(-87.7444472 ,41.8741111)"
90748,S WESTERN AVE,CHICAGO IL 60620,2012,41.7485992,-87.6831732,"(-87.6831732 ,41.7485992)"
90749,N CLEVELAND AVE,CHICAGO IL 60610,2012,41.907227,-87.641247,"(-87.641247 ,41.907227)"
90752,,CHICAGO IL,2012,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
90755,,CHICAGO IL,2012,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
90757,N DRAKE AVE Apt: 1WEST,CHICAGO IL,2012,41.9716928,-87.7173578,"(-87.7173578 ,41.9716928)"
94815,,CHICAGO IL,2012,41.8781136,-87.6297982,"(-87.6297982 ,41.8781136)"
90758,S STATE ST,CHICAGO IL,2012,41.6801234,-87.6230536,"(-87.6230536 ,41.6801234)"
90760,W HIGGINS AVE,CHICAGO IL 60630,2012,41.971002,-87.7692506,"(-87.7692506 ,41.971002)"
90761,N MASSASOIT AVE,CHICAGO IL,2012,41.9071919,-87.76978,"(-87.76978 ,41.9071919)"
90762,S MONITOR AVE,CHICAGO IL,2012,41.7952997,-87.7684834,"(-87.7684834 ,41.7952997)"
90764,S LOWE AVE,CHICAGO IL 60609,2012,41.796537,-87.6418684,"(-87.6418684 ,41.796537)"
90767,N WABASH AVE Apt: 300,CHICAGO IL 60644,2012,41.8908486,-87.6266838,"(-87.6266838 ,41.8908486)"
90769,S HALSTED ST,CHICAGO IL 60628,2012,41.7125965,-87.6434595,"(-87.6434595 ,41.7125965)"
90770,S WENTWORTH AVE,CHICAGO IL 60609,2012,41.8001641,-87.6310985,"(-87.6310985 ,41.8001641)"
90771,S SEELEY AVE,CHICAGO IL 60636,2012,41.7777606,-87.6753534,"(-87.6753534 ,41.7777606)"
90772,W ALTGELD ST,CHICAGO IL,2012,41.9265477,-87.7410957,"(-87.7410957 ,41.9265477)"
90773,W GRENSHAW ST,CHICAGO IL 60624,2012,41.8671495,-87.7187173,"(-87.7187173 ,41.8671495)"
90774,S MICHIGAN AVE,CHICAGO IL,2012,41.8297137,-87.6237715,"(-87.6237715 ,41.8297137)"
90775,S VINCENNES AVE,CHICAGO IL,2012,41.7425296,-87.6373175,"(-87.6373175 ,41.7425296)"
90776,S HALSTED ST,CHICAGO IL,2012,41.6763025,-87.6422367,"(-87.6422367 ,41.6763025)"
90777,E SUPERIOR ST,CHICAGO IL,2012,41.8961117,-87.6208595,"(-87.6208595 ,41.8961117)"
90778,W RICE ST,CHICAGO IL 60651,2012,41.8961172,-87.7503259,"(-87.7503259 ,41.8961172)"
90780,S MICHIGAN AVE,CHICAGO IL,2012,41.8297137,-87.6237715,"(-87.6237715 ,41.8297137)"
90781,E 111TH ST,CHICAGO IL,2012,41.6936152,-87.6013365,"(-87.6013365 ,41.6936152)"
90782,N RIDGE BLVD,CHICAGO IL,2012,42.0102722,-87.6827484,"(-87.6827484 ,42.0102722)"
90783,S CALIFORNIA AVE,CHICAGO IL,2012,41.8256389,-87.6954838,"(-87.6954838 ,41.8256389)"
90784,W SUPERIOR ST,CHICAGO IL,2012,41.8942574,-87.7477968,"(-87.7477968 ,41.8942574)"
90785,W DIVISION ST,CHICAGO IL 60651,2012,41.9022353,-87.7749881,"(-87.7749881 ,41.9022353)"
90787,N HOYNE AVE,CHICAGO IL,2012,42.015539,-87.683373,"(-87.683373 ,42.015539)"
90788,N PULASKI RD,CHICAGO IL 60630,2012,41.966169,-87.728323,"(-87.728323 ,41.966169)"
90789,N ROCKWELL ST,CHICAGO IL 60622,2012,41.9023598,-87.6921124,"(-87.6921124 ,41.9023598)"
90790,W 24TH ST,CHICAGO IL 60616,2012,41.849408,-87.6339463,"(-87.6339463 ,41.849408)"
90791,S KIMBARK AVE,CHICAGO IL 60619,2012,41.7517788,-87.5933489,"(-87.5933489 ,41.7517788)"
90792,N NORTHWEST HWY,CHICAGO IL 60631,2012,41.989036,-87.793919,"(-87.793919 ,41.989036)"
90794,S CALUMET AVE,CHICAGO IL 60628,2012,41.6766249,-87.6157313,"(-87.6157313 ,41.6766249)"
90795,E 79TH ST,CHICAGO IL,2012,41.7520221,-87.5527253,"(-87.5527253 ,41.7520221)"
90796,W WRIGHTWOOD AVE,CHICAGO IL 60647,2012,41.9285373,-87.7143176,"(-87.7143176 ,41.9285373)"
90798,S GREENWOOD AVE,CHICAGO IL 60637,2012,41.7806829,-87.5994387,"(-87.5994387 ,41.7806829)"
90799,E 111TH ST,CHICAGO IL 60628,2012,41.6936152,-87.6013365,"(-87.6013365 ,41.6936152)"
