Num_allegations
707
1085
517
465
526
1941
588
767
854
411
544
554
569
658
552
283
530
434
448
442
510
652
703
787
1128
516
382
518
464
785
526
578
401
426
877
501
762
703
462
637
427
332
617
1218
707
363
296
275
459
397
419
1565
416
512
326
533
423
567
560
787
586
421
443
544
771
702
582
702
468
632
708
720
1763
565
361
415
604
1010
593
447
618
1570
558
577
440
583
530
750
877
418
365
283
58
370
306
565
284
1137
339
295
266
67
342
303
524
821
1494
284
1285
317
266
169
449
190
317
90
51
751
373
522
455
538
499
441
465
588
229
301
290
248
346
501
462
327
737
299
593
550
574
2118
694
621
730
425
765
563
345
811
592
506
279
297
518
746
44
473
1068
676
549
449
403
236
264
325
237
279
238
239
286
703
226
423
593
371
317
263
171
261
243
190
246
222
60
78
252
202
141
525
657
556
521
577
58
1092
606
253
55
291
888
88
305
242
465
480
148
587
388
207
387
220
257
132
223
305
152
138
71
101
475
149
409
180
746
170
247
239
224
259
231
553
498
308
190
144
469
491
250


161
715
376
245
292
219
2133
268
200
274
295
354
241
178
372
181
454
1450
516
436
785
763
669
621
331
351
6
25
9
39
321
309
349
849
328
292
360
510
