M,Hispanic,93.1121,71.5949,86.1845,0.0000,0.0000,36,9,12,20,9,0,0,1,64926
M,Hispanic,68.6800,55.4602,94.4414,0.0000,0.0000,14,3,0,4,3,0,0,0,70656
M,Hispanic,94.0316,94.9073,0.0000,98.4738,97.4933,25,0,108,7,0,6,33,0,90024
M,Hispanic,54.7973,61.9992,0.0000,88.0064,80.8067,8,0,30,7,0,3,13,1,90024
F,Hispanic,54.1898,60.9577,0.0000,48.9674,80.1598,3,0,12,1,0,1,1,0,84054
F,Hispanic,0.0000,NULL,NULL,NULL,0.0000,0,0,0,0,0,4,0,0,NULL
M,Hispanic,49.1231,56.5826,0.0000,78.2707,89.8858,5,0,44,1,0,2,8,0,87006
M,Hispanic,93.0496,94.6432,0.0000,93.0103,90.7882,31,0,70,17,0,7,18,0,93354
M,Hispanic,48.2953,0.0000,0.0000,0.0000,0.0000,9,0,0,8,0,4,0,0,80736
F,White,80.0466,83.7403,0.0000,56.6663,79.6973,19,0,32,3,0,12,3,0,93354
M,Black,0.0000,NULL,NULL,NULL,0.0000,0,0,9,0,0,3,0,1,NULL
M,Hispanic,63.8455,61.9992,61.1521,49.1036,67.1831,13,0,13,5,0,2,2,0,93354
M,Hispanic,51.4872,41.4662,0.0000,0.0000,0.0000,8,2,0,5,1,0,0,0,121728
F,White,16.2837,0.0000,0.0000,0.0000,59.5309,1,1,1,0,1,0,0,0,79632
M,Hispanic,NULL,NULL,NULL,NULL,95.3456,3,0,9,1,0,0,0,1,72510
M,Hispanic,NULL,NULL,NULL,NULL,75.5636,0,0,2,0,0,0,0,0,72510
F,Hispanic,NULL,NULL,NULL,NULL,90.1510,1,0,6,0,0,0,0,1,72510
M,Native American/Alaskan Native,93.0610,92.8393,79.9133,95.6655,79.8072,27,1,27,13,1,3,23,0,78012
M,Hispanic,51.8318,NULL,NULL,NULL,0.0000,4,0,1,3,0,1,0,0,NULL
F,Hispanic,38.7261,47.6380,0.0000,0.0000,77.9474,5,0,25,1,0,7,0,0,90024
M,Hispanic,55.1104,65.2386,95.0341,NULL,0.0000,8,1,9,4,1,3,0,1,NULL
M,Black,48.4978,NULL,NULL,NULL,0.0000,4,2,1,1,2,0,0,0,NULL
M,Hispanic,82.6411,80.8003,87.8613,80.7954,78.9339,9,3,10,1,3,4,4,0,84054
M,White,65.8209,67.3610,72.8224,63.0035,80.5997,9,0,25,2,0,4,4,1,94524
F,White,54.2843,NULL,NULL,NULL,0.0000,1,1,2,0,0,1,0,0,NULL
M,White,38.6573,35.6089,0.0000,38.9028,0.0000,6,0,0,1,0,2,1,0,100980
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,0,0,0,0,0,0,NULL
M,White,NULL,NULL,NULL,NULL,0.0000,0,0,0,0,0,0,0,0,NULL
M,White,0.0000,NULL,NULL,NULL,0.0000,0,0,0,0,0,0,0,0,NULL
F,Black,24.8475,32.6097,0.0000,61.3645,57.6882,4,0,7,2,0,1,3,0,92316
M,White,54.3739,NULL,NULL,NULL,0.0000,5,0,0,2,0,0,0,1,NULL
M,White,55.2137,44.7994,92.2885,0.0000,0.0000,7,2,3,4,2,0,0,0,65592
M,Black,84.4269,78.5362,87.4323,0.0000,0.0000,25,4,0,14,3,0,0,1,76476
M,White,71.7904,53.3110,0.0000,0.0000,65.5939,17,1,1,10,1,2,0,2,84402
M,White,86.3169,77.6460,0.0000,49.1036,61.3222,27,1,9,14,1,5,2,1,100980
M,Black,55.5844,53.0197,0.0000,0.0000,46.0847,12,0,4,6,0,1,0,0,103932
M,White,75.4614,77.6460,0.0000,63.0035,88.2815,15,0,55,13,0,5,4,0,97440
M,White,0.0000,NULL,NULL,NULL,0.0000,12,1,0,5,1,1,0,0,NULL
F,Black,53.0759,0.0000,77.9074,0.0000,0.0000,11,4,0,6,4,1,0,0,87888
M,Black,51.3470,NULL,NULL,NULL,0.0000,2,1,0,1,1,0,0,0,NULL
M,Black,NULL,NULL,NULL,NULL,0.0000,0,0,0,0,0,0,0,1,NULL
M,Black,NULL,NULL,NULL,NULL,0.0000,0,0,0,0,0,0,0,0,NULL
M,Black,72.7858,NULL,NULL,NULL,0.0000,6,4,0,2,4,0,0,0,NULL
F,Black,NULL,NULL,NULL,NULL,NULL,0,0,4,0,0,4,0,0,NULL
F,White,NULL,NULL,NULL,NULL,NULL,0,0,2,0,0,0,0,0,NULL
F,Black,NULL,NULL,NULL,NULL,NULL,2,1,2,0,0,0,0,0,36984
